mondo_id	description
MONDO:0002734	anal mucinous adenocarcinoma
MONDO:0002735	anal canal adenocarcinoma
MONDO:0002736	ampulla of vater mucinous adenocarcinoma
MONDO:0002739	extrahepatic bile duct mucinous adenocarcinoma
MONDO:0002740	uterine ligament mucinous adenocarcinoma
MONDO:0002741	uterine ligament adenocarcinoma
MONDO:0002742	cervical mucinous adenocarcinoma
MONDO:0002744	fallopian tube mucinous adenocarcinoma
MONDO:0002746	fallopian tube adenocarcinoma
MONDO:0002747	endometrial mucinous adenocarcinoma
MONDO:0002748	rectum mucinous adenocarcinoma
MONDO:0002750	bladder colloid adenocarcinoma
MONDO:0002751	bladder adenocarcinoma
MONDO:0002752	ovarian adenocarcinoma
MONDO:0002756	solitary plasmacytoma of chest wall
MONDO:0002758	vulva verrucous carcinoma
MONDO:0002759	bladder verrucous carcinoma
MONDO:0002760	bladder squamous cell carcinoma
MONDO:0002761	cervical verrucous carcinoma
MONDO:0002762	esophagus verrucous carcinoma
MONDO:0002763	urethral verrucous carcinoma
MONDO:0002764	urethra squamous cell carcinoma
MONDO:0002765	plantar verrucous skin carcinoma
MONDO:0002766	larynx verrucous carcinoma
MONDO:0002772	intraventricular meningioma
MONDO:0002786	diencephalic cancer
MONDO:0002795	adult central nervous system primitive neuroectodermal neoplasm
MONDO:0002798	childhood central nervous system primitive neuroectodermal neoplasm
MONDO:0002806	bronchogenic carcinoma
MONDO:0002811	main bronchus cancer
MONDO:0002813	lipomatous cancer
MONDO:0002814	adrenal carcinoma
MONDO:0002817	adrenal gland cancer
MONDO:0002821	trabecular follicular adenocarcinoma
MONDO:0002822	trabecular adenocarcinoma
MONDO:0002828	Bartholin gland transitional cell carcinoma
MONDO:0002829	bartholin gland carcinoma
MONDO:0002831	non-keratinizing sinonasal squamous cell carcinoma
MONDO:0002832	endometrial transitional cell carcinoma
MONDO:0002833	fallopian tube transitional cell carcinoma
MONDO:0002834	primary prostate urothelial carcinoma
MONDO:0002836	urethra transitional cell carcinoma
MONDO:0002837	sarcomatoid transitional cell carcinoma
MONDO:0002847	skeletal muscle cancer
MONDO:0002849	liver rhabdomyosarcoma
MONDO:0002850	central nervous system rhabdomyosarcoma
MONDO:0002851	mediastinum rhabdomyosarcoma
MONDO:0002852	mediastinum sarcoma
MONDO:0002853	rectum rhabdomyosarcoma
MONDO:0002854	prostate sarcoma
MONDO:0002855	ectomesenchymoma
MONDO:0002856	gallbladder rhabdomyosarcoma
MONDO:0002857	gallbladder sarcoma
MONDO:0002858	ovary rhabdomyosarcoma
MONDO:0002859	breast rhabdomyosarcoma
MONDO:0002860	testis rhabdomyosarcoma
MONDO:0002861	testis sarcoma
MONDO:0002862	bile duct sarcoma
MONDO:0002863	rhabdomyosarcoma with mixed embryonal and alveolar features
MONDO:0002864	anus rhabdomyosarcoma
MONDO:0002865	anus sarcoma
MONDO:0002867	pancreatic cystadenocarcinoma
MONDO:0002876	cervical adenosarcoma
MONDO:0002877	cervical carcinosarcoma
MONDO:0002878	uterine corpus adenosarcoma
MONDO:0002879	uterine body mixed cancer
MONDO:0002880	ovarian adenosarcoma
MONDO:0002881	vaginal adenosarcoma
MONDO:0002889	orbital cancer
MONDO:0002892	skull base chordoma
MONDO:0002898	skin cancer
MONDO:0002900	cerebral neuroblastoma
MONDO:0002911	brain stem glioma
MONDO:0002912	brainstem cancer
MONDO:0002914	childhood brain stem neoplasm
MONDO:0002920	malignant ovarian Brenner tumor
MONDO:0002923	uterine corpus endometrial stromal sarcoma
MONDO:0002924	smooth muscle cancer
MONDO:0002926	clear cell sarcoma
MONDO:0002927	spindle cell sarcoma
MONDO:0002928	carcinosarcoma
MONDO:0002930	kidney sarcoma
MONDO:0002935	penis basal cell carcinoma
MONDO:0002936	scrotum basal cell carcinoma
MONDO:0002937	nodular basal cell carcinoma
MONDO:0002938	metatypical basal cell carcinoma
MONDO:0002939	skin pigmented basal cell carcinoma
MONDO:0002940	anal margin basal cell carcinoma
MONDO:0002941	anal margin carcinoma
MONDO:0002942	sebaceous basal cell carcinoma
MONDO:0002943	external ear basal cell carcinoma
MONDO:0002944	external ear carcinoma
MONDO:0002945	micronodular basal cell carcinoma
MONDO:0002947	adamantinoid basal cell epithelioma
MONDO:0002948	skin fibroepithelial basal cell carcinoma
MONDO:0002949	morpheaform basal cell carcinoma
MONDO:0002950	skin clear cell basal cell carcinoma
MONDO:0002951	skin adenoid basal cell carcinoma
MONDO:0002952	follicular basal cell carcinoma
MONDO:0002953	skin infiltrative basal cell carcinoma
MONDO:0002954	superficial multifocal basal cell carcinoma
MONDO:0002955	vulva basal cell carcinoma
MONDO:0002956	skin cystic basal cell carcinoma
MONDO:0002957	sarcomatoid basal cell carcinoma
MONDO:0002958	signet ring basal cell carcinoma
MONDO:0002966	splenic manifestation of prolymphocytic leukemia
MONDO:0002969	ciliary body cancer
MONDO:0002972	posterior mediastinum cancer
MONDO:0002974	cervical cancer
MONDO:0002975	malignant breast melanoma
MONDO:0002978	orbit alveolar rhabdomyosarcoma
MONDO:0002979	papillary squamous carcinoma
MONDO:0002981	peripheral primitive neuroectodermal tumor of bone
MONDO:0002982	peripheral primitive neuroectodermal tumor of soft tissues
MONDO:0002988	cervix melanoma
MONDO:0002991	adenocarcinofibroma
MONDO:0002999	central nervous system germinoma
MONDO:0003001	seminoma
MONDO:0003002	dysgerminoma
MONDO:0003003	cervical alveolar soft part sarcoma
MONDO:0003007	childhood kidney cell carcinoma
MONDO:0003008	hereditary renal cell carcinoma
MONDO:0003010	multilocular clear cell renal cell carcinoma
MONDO:0003011	mucinous tubular and spindle renal cell carcinoma
MONDO:0003012	sarcomatoid renal cell carcinoma
MONDO:0003017	malignant peritoneal solitary fibrous tumor
MONDO:0003021	central nervous system angiosarcoma
MONDO:0003022	pediatric angiosarcoma
MONDO:0003023	aorta angiosarcoma
MONDO:0003024	breast angiosarcoma
MONDO:0003025	conventional angiosarcoma
MONDO:0003026	gallbladder angiosarcoma
MONDO:0003027	thyroid gland angiosarcoma
MONDO:0003028	thyroid sarcoma
MONDO:0003029	skin angiosarcoma
MONDO:0003030	endometrioid stromal sarcoma of the cervix
MONDO:0003032	superior vena cava angiosarcoma
MONDO:0003033	prostate angiosarcoma
MONDO:0003034	mediastinum angiosarcoma
MONDO:0003035	ovarian angiosarcoma
MONDO:0003036	mucoepidermoid carcinoma
MONDO:0003041	pediatric mesenchymal chondrosarcoma
MONDO:0003042	adult mesenchymal chondrosarcoma
MONDO:0003047	thymic large cell neuroendocrine carcinoma
MONDO:0003049	ovarian large-cell neuroendocrine carcinoma
MONDO:0003050	lung large cell carcinoma
MONDO:0003053	choroid plexus meningioma
MONDO:0003059	bile duct cancer
MONDO:0003060	biliary tract cancer
MONDO:0003072	retinal cancer
MONDO:0003073	trilateral retinoblastoma
MONDO:0003075	bilateral retinoblastoma
MONDO:0003076	unilateral retinoblastoma
MONDO:0003077	intraocular retinoblastoma
MONDO:0003078	extraocular retinoblastoma
MONDO:0003086	thymic mucoepidermoid carcinoma
MONDO:0003087	mucoepidermoid breast carcinoma
MONDO:0003089	extrahepatic bile duct mucoepidermoid carcinoma
MONDO:0003090	extrahepatic bile duct carcinoma
MONDO:0003091	cutaneous mucoepidermoid carcinoma
MONDO:0003092	lacrimal gland mucoepidermoid carcinoma
MONDO:0003093	mucoepidermoid esophageal carcinoma
MONDO:0003095	laryngeal mucoepidermoid carcinoma
MONDO:0003104	epicardium cancer
MONDO:0003107	infratentorial cancer
MONDO:0003112	malignant gastric germ cell tumor
MONDO:0003113	extragonadal germ cell cancer
MONDO:0003120	mixed testicular germ cell cancer
MONDO:0003128	classic pulmonary blastoma
MONDO:0003129	epithelial predominant pulmonary blastoma
MONDO:0003130	mesoblastic nephroma
MONDO:0003141	cerebellopontine angle embryonal tumor
MONDO:0003142	intracranial primitive neuroectodermal tumor
MONDO:0003144	medulloepithelioma
MONDO:0003145	supratentorial primitive neuroectodermal tumor
MONDO:0003152	adult brainstem gliosarcoma
MONDO:0003153	adult brainstem glioma
MONDO:0003158	malignant myoepithelioma
MONDO:0003169	diencephalic astrocytomas
MONDO:0003171	pineal gland astrocytoma
MONDO:0003173	brain stem astrocytic neoplasm
MONDO:0003174	spinal cord astrocytoma
MONDO:0003175	salivary gland adenoid cystic carcinoma
MONDO:0003177	prostate adenoid cystic carcinoma
MONDO:0003180	cutaneous adenocystic carcinoma
MONDO:0003181	lung adenoid cystic carcinoma
MONDO:0003184	trachea carcinoma
MONDO:0003185	adenoid cystic breast carcinoma
MONDO:0003186	esophageal adenoid cystic carcinoma
MONDO:0003187	Bartholin gland adenoid cystic carcinoma
MONDO:0003189	middle ear adenocarcinoma
MONDO:0003190	middle ear carcinoma
MONDO:0003191	rete ovarii adenocarcinoma
MONDO:0003193	bile duct adenocarcinoma
MONDO:0003195	peritoneal serous adenocarcinoma
MONDO:0003196	appendix carcinoma
MONDO:0003197	granular cell carcinoma
MONDO:0003198	small intestine adenocarcinoma
MONDO:0003199	anal carcinoma
MONDO:0003200	urethra adenocarcinoma
MONDO:0003202	pituitary gland basophilic carcinoma
MONDO:0003204	villous adenocarcinoma
MONDO:0003205	renal pelvis adenocarcinoma
MONDO:0003208	breast secretory carcinoma
MONDO:0003209	thymus gland adenocarcinoma
MONDO:0003210	intrahepatic cholangiocarcinoma
MONDO:0003211	nasal cavity adenocarcinoma
MONDO:0003212	nasal cavity carcinoma
MONDO:0003214	apocrine adenocarcinoma
MONDO:0003215	apocrine sweat gland cancer
MONDO:0003216	ureter adenocarcinoma
MONDO:0003218	adenocarcinoma in situ
MONDO:0003219	gastroesophageal junction adenocarcinoma
MONDO:0003220	gallbladder carcinoma
MONDO:0003222	central nervous system melanocytic neoplasm
MONDO:0003223	meninges hemangiopericytoma
MONDO:0003234	optic nerve astrocytoma
MONDO:0003243	hepatocellular clear cell carcinoma
MONDO:0003245	aflatoxin-related hepatocellular carcinoma
MONDO:0003246	sclerosing hepatic carcinoma
MONDO:0003249	pineal gland cancer
MONDO:0003252	granular cell cancer
MONDO:0003264	basosquamous carcinoma
MONDO:0003273	sternum cancer
MONDO:0003274	thoracic cancer
MONDO:0003275	middle ear cancer
MONDO:0003277	malignant ear neoplasm
MONDO:0003278	inner ear cancer
MONDO:0003303	neurofibroma of gallbladder
MONDO:0003313	endometrioid stromal sarcoma of the vagina
MONDO:0003315	endometrium carcinoma in situ
MONDO:0003316	nonanaplastic kidney Wilms tumor
MONDO:0003317	metachronous kidney Wilms' tumor
MONDO:0003318	mixed cell type kidney Wilms' tumor
MONDO:0003320	blastema predominant kidney Wilms tumor
MONDO:0003321	hereditary Wilms tumor
MONDO:0003322	epithelial predominant Wilms' tumor
MONDO:0003332	malignant struma ovarii
MONDO:0003340	malignant glomus tumor
MONDO:0003345	hilar cholangiocarcinoma
MONDO:0003347	inflammatory leiomyosarcoma
MONDO:0003348	conventional leiomyosarcoma
MONDO:0003349	central nervous system leiomyosarcoma
MONDO:0003350	granular cell leiomyosarcoma
MONDO:0003351	colon leiomyosarcoma
MONDO:0003352	colon sarcoma
MONDO:0003353	heart leiomyosarcoma
MONDO:0003354	heart sarcoma
MONDO:0003355	ovary leiomyosarcoma
MONDO:0003356	epithelioid leiomyosarcoma
MONDO:0003357	lung leiomyosarcoma
MONDO:0003358	anus leiomyosarcoma
MONDO:0003359	myxoid leiomyosarcoma
MONDO:0003360	small intestine leiomyosarcoma
MONDO:0003361	small intestinal sarcoma
MONDO:0003362	cutaneous leiomyosarcoma
MONDO:0003363	malignant dermis tumor
MONDO:0003364	gallbladder leiomyosarcoma
MONDO:0003365	esophagus leiomyosarcoma
MONDO:0003367	gastric leiomyosarcoma
MONDO:0003368	prostate leiomyosarcoma
MONDO:0003369	vagina leiomyosarcoma
MONDO:0003370	retroperitoneal leiomyosarcoma
MONDO:0003371	breast leiomyosarcoma
MONDO:0003372	vulvar leiomyosarcoma
MONDO:0003373	kidney leiomyosarcoma
MONDO:0003374	laryngeal leiomyosarcoma
MONDO:0003376	mediastinum leiomyosarcoma
MONDO:0003377	extrahepatic bile duct leiomyosarcoma
MONDO:0003378	liver leiomyosarcoma
MONDO:0003379	rectum leiomyosarcoma
MONDO:0003383	fallopian tube clear cell adenocarcinoma
MONDO:0003384	uterine ligament clear cell adenocarcinoma
MONDO:0003386	bladder clear cell adenocarcinoma
MONDO:0003387	urethra clear cell adenocarcinoma
MONDO:0003388	ampulla of vater clear cell adenocarcinoma
MONDO:0003389	epithelial-myoepithelial carcinoma
MONDO:0003390	glycogen-rich clear cell breast carcinoma
MONDO:0003391	vulvar alveolar soft part sarcoma
MONDO:0003399	pineal region yolk sac tumor
MONDO:0003400	childhood endodermal sinus tumor
MONDO:0003401	central nervous system endodermal sinus tumor
MONDO:0003402	testicular yolk sac tumor
MONDO:0003403	testicular non-seminomatous germ cell cancer
MONDO:0003404	adult yolk sac tumor
MONDO:0003408	ovarian primitive germ cell tumor
MONDO:0003410	Wolffian duct adenocarcinoma
MONDO:0003414	skin pilomatrix carcinoma
MONDO:0003437	occult small cell lung carcinoma
MONDO:0003438	combined small cell lung carcinoma
MONDO:0003454	conjunctival cancer
